Div,season,No of Matches,No of Teams
D1,2006,306,18.0
D1,2007,306,18.0
D1,2008,306,18.0
D1,2009,306,18.0
D1,2010,306,18.0
D1,2011,306,18.0
D1,2012,306,18.0
D1,2013,306,18.0
D1,2014,306,18.0
D1,2015,306,18.0
D1,2016,306,18.0
D1,2017,306,18.0
D1,2018,306,18.0
D1,2019,306,18.0
D1,2020,306,18.0
D1,2021,306,18.0
E0,2006,380,20.0
E0,2007,380,20.0
E0,2008,380,20.0
E0,2009,380,20.0
E0,2010,380,20.0
E0,2011,380,20.0
E0,2012,380,20.0
E0,2013,380,20.0
E0,2014,380,20.0
E0,2015,380,20.0
E0,2016,380,20.0
E0,2017,380,20.0
E0,2018,380,20.0
E0,2019,380,20.0
E0,2020,380,20.0
E0,2021,380,20.0
F1,2006,380,20.0
F1,2007,380,20.0
F1,2008,380,20.0
F1,2009,380,20.0
F1,2010,380,20.0
F1,2011,380,20.0
F1,2012,380,20.0
F1,2013,380,20.0
F1,2014,380,20.0
F1,2015,380,20.0
F1,2016,380,20.0
F1,2017,380,20.0
F1,2018,380,20.0
F1,2019,380,20.0
F1,2020,279,20.0
F1,2021,380,20.0
I1,2006,380,20.0
I1,2007,380,20.0
I1,2008,380,20.0
I1,2009,380,20.0
I1,2010,380,20.0
I1,2011,380,20.0
I1,2012,380,20.0
I1,2013,380,20.0
I1,2014,380,20.0
I1,2015,380,20.0
I1,2016,380,20.0
I1,2017,380,20.0
I1,2018,380,20.0
I1,2019,380,20.0
I1,2020,380,20.0
I1,2021,380,20.0
N1,2006,306,18.0
N1,2007,306,18.0
N1,2008,306,18.0
N1,2009,306,18.0
N1,2010,306,18.0
N1,2011,306,18.0
N1,2012,306,18.0
N1,2013,306,18.0
N1,2014,306,18.0
N1,2015,306,18.0
N1,2016,306,18.0
N1,2017,306,18.0
N1,2018,306,18.0
N1,2019,306,18.0
N1,2020,232,18.0
N1,2021,306,18.0
SP1,2006,380,20.0
SP1,2007,380,20.0
SP1,2008,380,20.0
SP1,2009,380,20.0
SP1,2010,380,20.0
SP1,2011,380,20.0
SP1,2012,380,20.0
SP1,2013,380,20.0
SP1,2014,380,20.0
SP1,2015,380,20.0
SP1,2016,380,20.0
SP1,2017,380,20.0
SP1,2018,380,20.0
SP1,2019,380,20.0
SP1,2020,380,20.0
SP1,2021,380,20.0
